Date,History Adj Close,Daily New Cases,Volume,ROE,ROA,PM,EPS,Adj Close
2011-06-22 00:00:00,183.649994,0,4182600,2.7358,1.1906,2.0392,0.44,191.630005
2011-06-23 00:00:00,186.369995,0,3129700,2.7358,1.1906,2.0392,0.44,194.160004
2011-06-24 00:00:00,187.720001,0,4609600,2.7358,1.1906,2.0392,0.44,192.550003
2011-06-27 00:00:00,194.229996,0,3614500,2.7358,1.1906,2.0392,0.44,201.25
2011-06-28 00:00:00,191.630005,0,6100700,2.7358,1.1906,2.0392,0.44,202.350006
2011-06-29 00:00:00,194.160004,0,3825300,2.7358,1.1906,2.0392,0.44,204.179993
2011-06-30 00:00:00,192.550003,0,4608900,2.7358,1.1906,2.0392,0.44,204.490005
2011-07-01 00:00:00,201.25,0,4448100,2.7358,1.1906,2.0392,0.44,209.490005
2011-07-05 00:00:00,202.350006,0,4008700,2.7358,1.1906,2.0392,0.44,213.190002
2011-07-06 00:00:00,204.179993,0,3585200,2.7358,1.1906,2.0392,0.44,214.190002
2011-07-07 00:00:00,204.490005,0,2607600,2.7358,1.1906,2.0392,0.44,216.740005
2011-07-08 00:00:00,209.490005,0,3144900,2.4598,1.0646,1.9268,0.41,218.279999
2011-07-11 00:00:00,213.190002,0,3707900,2.4598,1.0646,1.9268,0.41,212.550003
2011-07-12 00:00:00,214.190002,0,4033700,2.4598,1.0646,1.9268,0.41,211.229996
2011-07-13 00:00:00,216.740005,0,3985700,2.4598,1.0646,1.9268,0.41,213.5
2011-07-14 00:00:00,218.279999,0,4229900,2.4598,1.0646,1.9268,0.41,210.380005
2011-07-15 00:00:00,212.550003,0,3902500,2.4598,1.0646,1.9268,0.41,212.869995
2011-07-18 00:00:00,211.229996,0,4072600,2.4598,1.0646,1.9268,0.41,211.529999
2011-07-19 00:00:00,213.5,0,2898100,2.4598,1.0646,1.9268,0.41,218.059998
2011-07-20 00:00:00,210.380005,0,4437200,2.4598,1.0646,1.9268,0.41,215.550003
2011-07-21 00:00:00,212.869995,0,3372900,2.4598,1.0646,1.9268,0.41,213.210007
2011-07-22 00:00:00,211.529999,0,4545300,2.4598,1.0646,1.9268,0.41,216.520004
2011-07-25 00:00:00,218.059998,0,3591700,2.4598,1.0646,1.9268,0.41,213.490005
2011-07-26 00:00:00,215.550003,0,3342800,2.4598,1.0646,1.9268,0.41,214.179993
2011-07-27 00:00:00,213.210007,0,9863600,2.4598,1.0646,1.9268,0.41,222.520004
2011-07-28 00:00:00,216.520004,0,12955600,2.4598,1.0646,1.9268,0.41,223.899994
2011-07-29 00:00:00,213.490005,0,5354900,2.4598,1.0646,1.9268,0.41,222.520004
2011-08-01 00:00:00,214.179993,0,5167700,2.4598,1.0646,1.9268,0.41,221.320007
2011-08-02 00:00:00,222.520004,0,5789300,2.4598,1.0646,1.9268,0.41,211.699997
2011-08-03 00:00:00,223.899994,0,6586700,2.4598,1.0646,1.9268,0.41,209.960007
2011-08-04 00:00:00,222.520004,0,8197100,2.4598,1.0646,1.9268,0.41,201.479996
2011-08-05 00:00:00,221.320007,0,6579500,2.4598,1.0646,1.9268,0.41,202.699997
2011-08-08 00:00:00,211.699997,0,10024000,2.4598,1.0646,1.9268,0.41,193.699997
2011-08-09 00:00:00,209.960007,0,10427500,2.4598,1.0646,1.9268,0.41,205.089996
2011-08-10 00:00:00,201.479996,0,10491200,2.4598,1.0646,1.9268,0.41,194.130005
2011-08-11 00:00:00,202.699997,0,8757600,2.4598,1.0646,1.9268,0.41,198.360001
2011-08-12 00:00:00,193.699997,0,7401900,2.4598,1.0646,1.9268,0.41,202.300003
2011-08-15 00:00:00,205.089996,0,5620400,2.4598,1.0646,1.9268,0.41,202.949997
2011-08-16 00:00:00,194.130005,0,4785900,2.4598,1.0646,1.9268,0.41,197.679993
2011-08-17 00:00:00,198.360001,0,5205900,2.4598,1.0646,1.9268,0.41,195.929993
2011-08-18 00:00:00,202.300003,0,3991100,2.4598,1.0646,1.9268,0.41,182.520004
2011-08-19 00:00:00,202.949997,0,8275200,2.4598,1.0646,1.9268,0.41,178.929993
2011-08-22 00:00:00,197.679993,0,7244200,2.4598,1.0646,1.9268,0.41,177.539993
2011-08-23 00:00:00,195.929993,0,5313700,2.4598,1.0646,1.9268,0.41,193.550003
2011-08-24 00:00:00,182.520004,0,7351600,2.4598,1.0646,1.9268,0.41,193.729996
2011-08-25 00:00:00,178.929993,0,6248700,2.4598,1.0646,1.9268,0.41,192.029999
2011-08-26 00:00:00,177.539993,0,3760800,2.4598,1.0646,1.9268,0.41,199.270004
2011-08-29 00:00:00,193.550003,0,5310700,2.4598,1.0646,1.9268,0.41,206.529999
2011-08-30 00:00:00,193.729996,0,4511000,2.4598,1.0646,1.9268,0.41,210.919998
2011-08-31 00:00:00,192.029999,0,5915700,2.4598,1.0646,1.9268,0.41,215.229996
2011-09-01 00:00:00,199.270004,0,7405000,2.4598,1.0646,1.9268,0.41,212.539993
2011-09-02 00:00:00,206.529999,0,5275300,2.4598,1.0646,1.9268,0.41,210
2011-09-06 00:00:00,210.919998,0,4232000,2.4598,1.0646,1.9268,0.41,216.179993
2011-09-07 00:00:00,215.229996,0,6216200,2.4598,1.0646,1.9268,0.41,219.899994
2011-09-08 00:00:00,212.539993,0,5295800,2.4598,1.0646,1.9268,0.41,217.259995
2011-09-09 00:00:00,210,0,4397900,2.4598,1.0646,1.9268,0.41,211.389999
2011-09-12 00:00:00,216.179993,0,4574300,2.4598,1.0646,1.9268,0.41,216.559998
2011-09-13 00:00:00,219.899994,0,5342100,2.4598,1.0646,1.9268,0.41,219.529999
2011-09-14 00:00:00,217.259995,0,4835900,2.4598,1.0646,1.9268,0.41,222.570007
2011-09-15 00:00:00,211.389999,0,5881700,2.4598,1.0646,1.9268,0.41,226.779999
2011-09-16 00:00:00,216.559998,0,5608800,2.4598,1.0646,1.9268,0.41,239.300003
2011-09-19 00:00:00,219.529999,0,11753000,2.4598,1.0646,1.9268,0.41,241.690002
2011-09-20 00:00:00,222.570007,0,8223300,2.4598,1.0646,1.9268,0.41,233.25
2011-09-21 00:00:00,226.779999,0,7385500,2.4598,1.0646,1.9268,0.41,231.869995
2011-09-22 00:00:00,239.300003,0,5881500,2.4598,1.0646,1.9268,0.41,223.229996
2011-09-23 00:00:00,241.690002,0,8254600,2.4598,1.0646,1.9268,0.41,223.610001
2011-09-26 00:00:00,233.25,0,6468100,2.4598,1.0646,1.9268,0.41,229.850006
2011-09-27 00:00:00,231.869995,0,5794100,2.4598,1.0646,1.9268,0.41,224.210007
2011-09-28 00:00:00,223.229996,0,7837500,2.4598,1.0646,1.9268,0.41,229.710007
2011-09-29 00:00:00,223.610001,0,14436900,2.4598,1.0646,1.9268,0.41,222.440002
2011-09-30 00:00:00,229.850006,0,9378500,2.4598,1.0646,1.9268,0.41,216.229996
2011-10-03 00:00:00,224.210007,0,6550300,2.4598,1.0646,1.9268,0.41,211.979996
2011-10-04 00:00:00,229.710007,0,6624400,2.4598,1.0646,1.9268,0.41,212.5
2011-10-05 00:00:00,222.440002,0,8711600,2.4598,1.0646,1.9268,0.41,219.5
2011-10-06 00:00:00,216.229996,0,6508200,2.4598,1.0646,1.9268,0.41,221.509995
2011-10-07 00:00:00,211.979996,0,6849300,0.8112,0.3306,0.5793,0.14,224.740005
2011-10-10 00:00:00,212.5,0,6784300,0.8112,0.3306,0.5793,0.14,231.320007
2011-10-11 00:00:00,219.5,0,5143100,0.8112,0.3306,0.5793,0.14,235.479996
2011-10-12 00:00:00,221.509995,0,5003700,0.8112,0.3306,0.5793,0.14,236.809998
2011-10-13 00:00:00,224.740005,0,6510800,0.8112,0.3306,0.5793,0.14,236.149994
2011-10-14 00:00:00,231.320007,0,4833500,0.8112,0.3306,0.5793,0.14,246.710007
2011-10-17 00:00:00,235.479996,0,5923700,0.8112,0.3306,0.5793,0.14,242.330002
2011-10-18 00:00:00,236.809998,0,4779000,0.8112,0.3306,0.5793,0.14,243.880005
2011-10-19 00:00:00,236.149994,0,4609700,0.8112,0.3306,0.5793,0.14,231.529999
2011-10-20 00:00:00,246.710007,0,6715100,0.8112,0.3306,0.5793,0.14,233.610001
2011-10-21 00:00:00,242.330002,0,4524900,0.8112,0.3306,0.5793,0.14,234.779999
2011-10-24 00:00:00,243.880005,0,4572500,0.8112,0.3306,0.5793,0.14,237.610001
2011-10-25 00:00:00,231.529999,0,4975800,0.8112,0.3306,0.5793,0.14,227.149994
2011-10-26 00:00:00,233.610001,0,14012600,0.8112,0.3306,0.5793,0.14,198.399994
2011-10-27 00:00:00,234.779999,0,24134200,0.8112,0.3306,0.5793,0.14,206.779999
2011-10-28 00:00:00,237.610001,0,10774300,0.8112,0.3306,0.5793,0.14,217.320007
2011-10-31 00:00:00,227.149994,0,9880400,0.8112,0.3306,0.5793,0.14,213.509995
2011-11-01 00:00:00,198.399994,0,7343300,0.8112,0.3306,0.5793,0.14,212.100006
2011-11-02 00:00:00,206.779999,0,8511800,0.8112,0.3306,0.5793,0.14,215.619995
2011-11-03 00:00:00,217.320007,0,6122000,0.8112,0.3306,0.5793,0.14,218.289993
2011-11-04 00:00:00,213.509995,0,5315000,0.8112,0.3306,0.5793,0.14,216.479996
2011-11-07 00:00:00,212.100006,0,4065800,0.8112,0.3306,0.5793,0.14,217
2011-11-08 00:00:00,215.619995,0,3860000,0.8112,0.3306,0.5793,0.14,217.990005
2011-11-09 00:00:00,218.289993,0,3914500,0.8112,0.3306,0.5793,0.14,211.220001
2011-11-10 00:00:00,216.479996,0,4680600,0.8112,0.3306,0.5793,0.14,210.789993
2011-11-11 00:00:00,217,0,5044600,0.8112,0.3306,0.5793,0.14,217.389999
2011-11-14 00:00:00,217.990005,0,5163100,0.8112,0.3306,0.5793,0.14,218.929993
2011-11-15 00:00:00,211.220001,0,6522200,0.8112,0.3306,0.5793,0.14,217.830002
2011-11-16 00:00:00,210.789993,0,5739000,0.8112,0.3306,0.5793,0.14,211.990005
2011-11-17 00:00:00,217.389999,0,5509400,0.8112,0.3306,0.5793,0.14,204.520004
2011-11-18 00:00:00,218.929993,0,7983100,0.8112,0.3306,0.5793,0.14,197.139999
2011-11-21 00:00:00,217.830002,0,8437500,0.8112,0.3306,0.5793,0.14,189.25
2011-11-22 00:00:00,211.990005,0,11321200,0.8112,0.3306,0.5793,0.14,192.339996
2011-11-23 00:00:00,204.520004,0,9915600,0.8112,0.3306,0.5793,0.14,188.990005
2011-11-25 00:00:00,197.139999,0,8011300,0.8112,0.3306,0.5793,0.14,182.399994
2011-11-28 00:00:00,189.25,0,4972000,0.8112,0.3306,0.5793,0.14,194.149994
2011-11-29 00:00:00,192.339996,0,7207300,0.8112,0.3306,0.5793,0.14,188.389999
2011-11-30 00:00:00,188.990005,0,6575100,0.8112,0.3306,0.5793,0.14,192.289993
2011-12-01 00:00:00,182.399994,0,7717000,0.8112,0.3306,0.5793,0.14,197.130005
2011-12-02 00:00:00,194.149994,0,7327700,0.8112,0.3306,0.5793,0.14,196.029999
2011-12-05 00:00:00,188.389999,0,7526200,0.8112,0.3306,0.5793,0.14,196.240005
2011-12-06 00:00:00,192.289993,0,5922100,0.8112,0.3306,0.5793,0.14,191.990005
2011-12-07 00:00:00,197.130005,0,5202000,0.8112,0.3306,0.5793,0.14,195.320007
2011-12-08 00:00:00,196.029999,0,6427300,0.8112,0.3306,0.5793,0.14,190.479996
2011-12-09 00:00:00,196.240005,0,4361100,0.8112,0.3306,0.5793,0.14,193.029999
2011-12-12 00:00:00,191.990005,0,5158800,0.8112,0.3306,0.5793,0.14,189.520004
2011-12-13 00:00:00,195.320007,0,4343200,0.8112,0.3306,0.5793,0.14,180.509995
2011-12-14 00:00:00,190.479996,0,9297300,0.8112,0.3306,0.5793,0.14,180.210007
2011-12-15 00:00:00,193.029999,0,11614200,0.8112,0.3306,0.5793,0.14,181.259995
2011-12-16 00:00:00,189.520004,0,7259900,0.8112,0.3306,0.5793,0.14,181.259995
2011-12-19 00:00:00,180.509995,0,6664100,0.8112,0.3306,0.5793,0.14,179.330002
2011-12-20 00:00:00,180.210007,0,4533600,0.8112,0.3306,0.5793,0.14,182.520004
2011-12-21 00:00:00,181.259995,0,4600100,0.8112,0.3306,0.5793,0.14,174.350006
2011-12-22 00:00:00,181.259995,0,8066700,0.8112,0.3306,0.5793,0.14,179.029999
2011-12-23 00:00:00,179.330002,0,4694900,0.8112,0.3306,0.5793,0.14,177.279999
2011-12-27 00:00:00,182.520004,0,3496500,0.8112,0.3306,0.5793,0.14,176.270004
2011-12-28 00:00:00,174.350006,0,2950900,0.8112,0.3306,0.5793,0.14,173.889999
2011-12-29 00:00:00,179.029999,0,3659500,0.8112,0.3306,0.5793,0.14,173.860001
2011-12-30 00:00:00,177.279999,0,8209300,0.8112,0.3306,0.5793,0.14,173.100006
2012-01-03 00:00:00,176.270004,0,4279800,0.8112,0.3306,0.5793,0.14,179.029999
2012-01-04 00:00:00,173.889999,0,5110800,0.8112,0.3306,0.5793,0.14,177.509995
2012-01-05 00:00:00,173.860001,0,4205200,0.8112,0.3306,0.5793,0.14,177.610001
