Date,Daily New Cases,Volume,PM,EPS,Adj Close
2011-05-02  00:00:00,0,6640900,2.0392,0.44,185.419998
2011-05-03  00:00:00,0,9398100,2.0392,0.44,182.300003
2011-05-04  00:00:00,0,6100000,2.0392,0.44,196.630005
2011-05-05  00:00:00,0,6550000,2.0392,0.44,195.070007
2011-05-06  00:00:00,0,4600000,2.0392,0.44,195.809998
2011-05-09  00:00:00,0,4013900,2.0392,0.44,201.190002
2011-05-10  00:00:00,0,5825400,2.0392,0.44,198.449997
2011-05-11  00:00:00,0,5885900,2.0392,0.44,199.970001
2011-05-12  00:00:00,0,4809000,2.0392,0.44,197.110001
2011-05-13  00:00:00,0,4800000,2.0392,0.44,197.600006
2011-05-16  00:00:00,0,4123700,2.0392,0.44,200.800003
2011-05-17  00:00:00,0,9386400,2.0392,0.44,203.940002
2011-05-18  00:00:00,0,7073300,2.0392,0.44,204.380005
2011-05-19  00:00:00,0,4955800,2.0392,0.44,206.070007
2011-05-20  00:00:00,0,3701200,2.0392,0.44,202.559998
2011-05-23  00:00:00,0,3381000,2.0392,0.44,192.509995
2011-05-24  00:00:00,0,4200000,2.0392,0.44,194.809998
2011-05-25  00:00:00,0,2972700,2.0392,0.44,197.089996
2011-05-26  00:00:00,0,4661300,2.0392,0.44,198.800003
2011-05-27  00:00:00,0,4075200,2.0392,0.44,198.649994
2011-05-31  00:00:00,0,2352600,2.0392,0.44,196.220001
2011-06-01  00:00:00,0,3409000,2.0392,0.44,193.270004
2011-06-02  00:00:00,0,3445200,2.0392,0.44,192.259995
2011-06-03  00:00:00,0,3044900,2.0392,0.44,195
2011-06-06  00:00:00,0,4974500,2.0392,0.44,194.130005
2011-06-07  00:00:00,0,3716000,2.0392,0.44,196.690002
2011-06-08  00:00:00,0,4866500,2.0392,0.44,192.399994
2011-06-09  00:00:00,0,3716600,2.0392,0.44,193.649994
2011-06-10  00:00:00,0,4187300,2.0392,0.44,188.320007
2011-06-13  00:00:00,0,3760400,2.0392,0.44,185.690002
2011-06-14  00:00:00,0,3868900,2.0392,0.44,187.550003
2011-06-15  00:00:00,0,3960300,2.0392,0.44,188.050003
2011-06-16  00:00:00,0,6317700,2.0392,0.44,189.679993
2011-06-17  00:00:00,0,6032100,2.0392,0.44,186.529999
2011-06-20  00:00:00,0,6322200,2.0392,0.44,186.289993
2011-06-21  00:00:00,0,2831700,2.0392,0.44,189.960007
2011-06-22  00:00:00,0,4182600,2.0392,0.44,185.979996
2011-06-23  00:00:00,0,3129700,2.0392,0.44,183.649994
2011-06-24  00:00:00,0,4609600,2.0392,0.44,186.369995
2011-06-27  00:00:00,0,3614500,2.0392,0.44,187.720001
2011-06-28  00:00:00,0,6100700,2.0392,0.44,194.229996
2011-06-29  00:00:00,0,3825300,2.0392,0.44,191.630005
2011-06-30  00:00:00,0,4608900,2.0392,0.44,194.160004
2011-07-01  00:00:00,0,4448100,2.0392,0.44,192.550003
2011-07-05  00:00:00,0,4008700,2.0392,0.44,201.25
2011-07-06  00:00:00,0,3585200,2.0392,0.44,202.350006
2011-07-07  00:00:00,0,2607600,2.0392,0.44,204.179993
2011-07-08  00:00:00,0,3144900,1.9268,0.41,204.490005
2011-07-11  00:00:00,0,3707900,1.9268,0.41,209.490005
2011-07-12  00:00:00,0,4033700,1.9268,0.41,213.190002
2011-07-13  00:00:00,0,3985700,1.9268,0.41,214.190002
2011-07-14  00:00:00,0,4229900,1.9268,0.41,216.740005
2011-07-15  00:00:00,0,3902500,1.9268,0.41,218.279999
2011-07-18  00:00:00,0,4072600,1.9268,0.41,212.550003
2011-07-19  00:00:00,0,2898100,1.9268,0.41,211.229996
2011-07-20  00:00:00,0,4437200,1.9268,0.41,213.5
2011-07-21  00:00:00,0,3372900,1.9268,0.41,210.380005
2011-07-22  00:00:00,0,4545300,1.9268,0.41,212.869995
2011-07-25  00:00:00,0,3591700,1.9268,0.41,211.529999
2011-07-26  00:00:00,0,3342800,1.9268,0.41,218.059998
2011-07-27  00:00:00,0,9863600,1.9268,0.41,215.550003
2011-07-28  00:00:00,0,12955600,1.9268,0.41,213.210007
2011-07-29  00:00:00,0,5354900,1.9268,0.41,216.520004
2011-08-01  00:00:00,0,5167700,1.9268,0.41,213.490005
2011-08-02  00:00:00,0,5789300,1.9268,0.41,214.179993
2011-08-03  00:00:00,0,6586700,1.9268,0.41,222.520004
2011-08-04  00:00:00,0,8197100,1.9268,0.41,223.899994
2011-08-05  00:00:00,0,6579500,1.9268,0.41,222.520004
2011-08-08  00:00:00,0,10024000,1.9268,0.41,221.320007
2011-08-09  00:00:00,0,10427500,1.9268,0.41,211.699997
2011-08-10  00:00:00,0,10491200,1.9268,0.41,209.960007
2011-08-11  00:00:00,0,8757600,1.9268,0.41,201.479996
2011-08-12  00:00:00,0,7401900,1.9268,0.41,202.699997
2011-08-15  00:00:00,0,5620400,1.9268,0.41,193.699997
2011-08-16  00:00:00,0,4785900,1.9268,0.41,205.089996
2011-08-17  00:00:00,0,5205900,1.9268,0.41,194.130005
2011-08-18  00:00:00,0,3991100,1.9268,0.41,198.360001
2011-08-19  00:00:00,0,8275200,1.9268,0.41,202.300003
2011-08-22  00:00:00,0,7244200,1.9268,0.41,202.949997
2011-08-23  00:00:00,0,5313700,1.9268,0.41,197.679993
2011-08-24  00:00:00,0,7351600,1.9268,0.41,195.929993
2011-08-25  00:00:00,0,6248700,1.9268,0.41,182.520004
2011-08-26  00:00:00,0,3760800,1.9268,0.41,178.929993
2011-08-29  00:00:00,0,5310700,1.9268,0.41,177.539993
2011-08-30  00:00:00,0,4511000,1.9268,0.41,193.550003
2011-08-31  00:00:00,0,5915700,1.9268,0.41,193.729996
2011-09-01  00:00:00,0,7405000,1.9268,0.41,192.029999
2011-09-02  00:00:00,0,5275300,1.9268,0.41,199.270004
2011-09-06  00:00:00,0,4232000,1.9268,0.41,206.529999
2011-09-07  00:00:00,0,6216200,1.9268,0.41,210.919998
2011-09-08  00:00:00,0,5295800,1.9268,0.41,215.229996
2011-09-09  00:00:00,0,4397900,1.9268,0.41,212.539993
2011-09-12  00:00:00,0,4574300,1.9268,0.41,210
2011-09-13  00:00:00,0,5342100,1.9268,0.41,216.179993
2011-09-14  00:00:00,0,4835900,1.9268,0.41,219.899994
2011-09-15  00:00:00,0,5881700,1.9268,0.41,217.259995
2011-09-16  00:00:00,0,5608800,1.9268,0.41,211.389999
2011-09-19  00:00:00,0,11753000,1.9268,0.41,216.559998
2011-09-20  00:00:00,0,8223300,1.9268,0.41,219.529999
2011-09-21  00:00:00,0,7385500,1.9268,0.41,222.570007
2011-09-22  00:00:00,0,5881500,1.9268,0.41,226.779999
2011-09-23  00:00:00,0,8254600,1.9268,0.41,239.300003
2011-09-26  00:00:00,0,6468100,1.9268,0.41,241.690002
2011-09-27  00:00:00,0,5794100,1.9268,0.41,233.25
2011-09-28  00:00:00,0,7837500,1.9268,0.41,231.869995
2011-09-29  00:00:00,0,14436900,1.9268,0.41,223.229996
2011-09-30  00:00:00,0,9378500,1.9268,0.41,223.610001
2011-10-03  00:00:00,0,6550300,1.9268,0.41,229.850006
2011-10-04  00:00:00,0,6624400,1.9268,0.41,224.210007
2011-10-05  00:00:00,0,8711600,1.9268,0.41,229.710007
2011-10-06  00:00:00,0,6508200,1.9268,0.41,222.440002
2011-10-07  00:00:00,0,6849300,0.5793,0.14,216.229996
2011-10-10  00:00:00,0,6784300,0.5793,0.14,211.979996
2011-10-11  00:00:00,0,5143100,0.5793,0.14,212.5
2011-10-12  00:00:00,0,5003700,0.5793,0.14,219.5
2011-10-13  00:00:00,0,6510800,0.5793,0.14,221.509995
2011-10-14  00:00:00,0,4833500,0.5793,0.14,224.740005
2011-10-17  00:00:00,0,5923700,0.5793,0.14,231.320007
2011-10-18  00:00:00,0,4779000,0.5793,0.14,235.479996
2011-10-19  00:00:00,0,4609700,0.5793,0.14,236.809998
2011-10-20  00:00:00,0,6715100,0.5793,0.14,236.149994
2011-10-21  00:00:00,0,4524900,0.5793,0.14,246.710007
2011-10-24  00:00:00,0,4572500,0.5793,0.14,242.330002
2011-10-25  00:00:00,0,4975800,0.5793,0.14,243.880005
2011-10-26  00:00:00,0,14012600,0.5793,0.14,231.529999
2011-10-27  00:00:00,0,24134200,0.5793,0.14,233.610001
2011-10-28  00:00:00,0,10774300,0.5793,0.14,234.779999
2011-10-31  00:00:00,0,9880400,0.5793,0.14,237.610001
2011-11-01  00:00:00,0,7343300,0.5793,0.14,227.149994
2011-11-02  00:00:00,0,8511800,0.5793,0.14,198.399994
2011-11-03  00:00:00,0,6122000,0.5793,0.14,206.779999
2011-11-04  00:00:00,0,5315000,0.5793,0.14,217.320007
2011-11-07  00:00:00,0,4065800,0.5793,0.14,213.509995
2011-11-08  00:00:00,0,3860000,0.5793,0.14,212.100006
2011-11-09  00:00:00,0,3914500,0.5793,0.14,215.619995
2011-11-10  00:00:00,0,4680600,0.5793,0.14,218.289993
2011-11-11  00:00:00,0,5044600,0.5793,0.14,216.479996
2011-11-14  00:00:00,0,5163100,0.5793,0.14,217
2011-11-15  00:00:00,0,6522200,0.5793,0.14,217.990005
2011-11-16  00:00:00,0,5739000,0.5793,0.14,211.220001
2011-11-17  00:00:00,0,5509400,0.5793,0.14,210.789993
2011-11-18  00:00:00,0,7983100,0.5793,0.14,217.389999
2011-11-21  00:00:00,0,8437500,0.5793,0.14,218.929993
2011-11-22  00:00:00,0,11321200,0.5793,0.14,217.830002
2011-11-23  00:00:00,0,9915600,0.5793,0.14,211.990005
2011-11-25  00:00:00,0,8011300,0.5793,0.14,204.520004
2011-11-28  00:00:00,0,4972000,0.5793,0.14,197.139999
2011-11-29  00:00:00,0,7207300,0.5793,0.14,189.25
2011-11-30  00:00:00,0,6575100,0.5793,0.14,192.339996
2011-12-01  00:00:00,0,7717000,0.5793,0.14,188.990005
2011-12-02  00:00:00,0,7327700,0.5793,0.14,182.399994
2011-12-05  00:00:00,0,7526200,0.5793,0.14,194.149994
2011-12-06  00:00:00,0,5922100,0.5793,0.14,188.389999
2011-12-07  00:00:00,0,5202000,0.5793,0.14,192.289993
2011-12-08  00:00:00,0,6427300,0.5793,0.14,197.130005
2011-12-09  00:00:00,0,4361100,0.5793,0.14,196.029999
2011-12-12  00:00:00,0,5158800,0.5793,0.14,196.240005
2011-12-13  00:00:00,0,4343200,0.5793,0.14,191.990005
2011-12-14  00:00:00,0,9297300,0.5793,0.14,195.320007
2011-12-15  00:00:00,0,11614200,0.5793,0.14,190.479996
2011-12-16  00:00:00,0,7259900,0.5793,0.14,193.029999
2011-12-19  00:00:00,0,6664100,0.5793,0.14,189.520004
2011-12-20  00:00:00,0,4533600,0.5793,0.14,180.509995
2011-12-21  00:00:00,0,4600100,0.5793,0.14,180.210007
2011-12-22  00:00:00,0,8066700,0.5793,0.14,181.259995
2011-12-23  00:00:00,0,4694900,0.5793,0.14,181.259995
2011-12-27  00:00:00,0,3496500,0.5793,0.14,179.330002
2011-12-28  00:00:00,0,2950900,0.5793,0.14,182.520004
2011-12-29  00:00:00,0,3659500,0.5793,0.14,174.350006
2011-12-30  00:00:00,0,8209300,0.5793,0.14,179.029999
2012-01-03  00:00:00,0,4279800,0.5793,0.14,177.279999
2012-01-04  00:00:00,0,5110800,0.5793,0.14,176.270004
2012-01-05  00:00:00,0,4205200,0.5793,0.14,173.889999
2012-01-06  00:00:00,0,3809100,0.5793,0.14,173.860001
2012-01-09  00:00:00,0,7008400,0.5793,0.14,173.100006
2012-01-10  00:00:00,0,5056900,1.0097,0.38,179.029999
2012-01-11  00:00:00,0,3985800,1.0097,0.38,177.509995
2012-01-12  00:00:00,0,3102700,1.0097,0.38,177.610001
2012-01-13  00:00:00,0,5385800,1.0097,0.38,182.610001
2012-01-17  00:00:00,0,4753500,1.0097,0.38,178.559998
2012-01-18  00:00:00,0,5644500,1.0097,0.38,179.339996
2012-01-19  00:00:00,0,7473500,1.0097,0.38,178.899994
2012-01-20  00:00:00,0,7096000,1.0097,0.38,175.929993
2012-01-23  00:00:00,0,5610300,1.0097,0.38,178.419998
2012-01-24  00:00:00,0,4585300,1.0097,0.38,181.660004
2012-01-25  00:00:00,0,4673800,1.0097,0.38,189.440002
2012-01-26  00:00:00,0,4306400,1.0097,0.38,194.449997
2012-01-27  00:00:00,0,5873600,1.0097,0.38,190.929993
2012-01-30  00:00:00,0,4659000,1.0097,0.38,186.089996
2012-01-31  00:00:00,0,5424100,1.0097,0.38,187
2012-02-01  00:00:00,0,12772200,1.0097,0.38,187.800003
2012-02-02  00:00:00,0,21336600,1.0097,0.38,193.320007
2012-02-03  00:00:00,0,8736300,1.0097,0.38,195.369995
2012-02-06  00:00:00,0,8120500,1.0097,0.38,192.149994
2012-02-07  00:00:00,0,5310000,1.0097,0.38,194.440002
2012-02-08  00:00:00,0,5103900,1.0097,0.38,179.460007
2012-02-09  00:00:00,0,5476600,1.0097,0.38,181.720001
2012-02-10  00:00:00,0,7189200,1.0097,0.38,187.679993
2012-02-13  00:00:00,0,5797100,1.0097,0.38,183.139999
2012-02-14  00:00:00,0,6071400,1.0097,0.38,184.190002
2012-02-15  00:00:00,0,9527100,1.0097,0.38,185.479996
2012-02-16  00:00:00,0,7794400,1.0097,0.38,184.979996
2012-02-17  00:00:00,0,12563800,1.0097,0.38,185.539993
2012-02-21  00:00:00,0,7418100,1.0097,0.38,191.589996
2012-02-22  00:00:00,0,6756500,1.0097,0.38,191.300003
2012-02-23  00:00:00,0,5785400,1.0097,0.38,184.470001
2012-02-24  00:00:00,0,5153800,1.0097,0.38,179.929993
2012-02-27  00:00:00,0,3668700,1.0097,0.38,182.5
2012-02-28  00:00:00,0,3706200,1.0097,0.38,182.259995
2012-02-29  00:00:00,0,5764500,1.0097,0.38,180.580002
2012-03-01  00:00:00,0,5300300,1.0097,0.38,178.889999
2012-03-02  00:00:00,0,4936000,1.0097,0.38,179.130005
2012-03-05  00:00:00,0,3657800,1.0097,0.38,178.529999
2012-03-06  00:00:00,0,4682700,1.0097,0.38,183.800003
2012-03-07  00:00:00,0,5612200,1.0097,0.38,179.690002
2012-03-08  00:00:00,0,4951500,1.0097,0.38,180.039993
2012-03-09  00:00:00,0,4221500,1.0097,0.38,179.300003
2012-03-12  00:00:00,0,4510600,1.0097,0.38,180.259995
2012-03-13  00:00:00,0,2587600,1.0097,0.38,181.089996
2012-03-14  00:00:00,0,4405800,1.0097,0.38,183.770004
2012-03-15  00:00:00,0,3699700,1.0097,0.38,187.639999
2012-03-16  00:00:00,0,4160100,1.0097,0.38,184.320007
2012-03-19  00:00:00,0,4934000,1.0097,0.38,183.389999
2012-03-20  00:00:00,0,3903400,1.0097,0.38,184.589996
2012-03-21  00:00:00,0,9165400,1.0097,0.38,182.259995
2012-03-22  00:00:00,0,4214400,1.0097,0.38,184.429993
2012-03-23  00:00:00,0,3739600,1.0097,0.38,185.050003
2012-03-26  00:00:00,0,5984000,1.0097,0.38,185.520004
2012-03-27  00:00:00,0,7613700,1.0097,0.38,192.330002
2012-03-28  00:00:00,0,9600800,1.0097,0.38,191.729996
2012-03-29  00:00:00,0,6245000,1.0097,0.38,192.399994
2012-03-30  00:00:00,0,5711200,1.0097,0.38,195.039993
2012-04-02  00:00:00,0,4438100,1.0097,0.38,202.869995
2012-04-03  00:00:00,0,6430300,1.0097,0.38,205.440002
2012-04-04  00:00:00,0,5000700,1.0097,0.38,201.160004
2012-04-05  00:00:00,0,5456900,1.0097,0.38,204.610001
2012-04-09  00:00:00,0,3217500,1.0097,0.38,202.509995
2012-04-10  00:00:00,0,3135900,0.986,0.28,198.050003
2012-04-11  00:00:00,0,4455000,0.986,0.28,199.660004
2012-04-12  00:00:00,0,4337800,0.986,0.28,193.990005
2012-04-13  00:00:00,0,4027900,0.986,0.28,194.389999
2012-04-16  00:00:00,0,3431800,0.986,0.28,191.869995
2012-04-17  00:00:00,0,4044300,0.986,0.28,186.979996
2012-04-18  00:00:00,0,2829200,0.986,0.28,187.970001
2012-04-19  00:00:00,0,4001900,0.986,0.28,190.690002
2012-04-20  00:00:00,0,4002400,0.986,0.28,188.460007
2012-04-23  00:00:00,0,3243600,0.986,0.28,185.5
2012-04-24  00:00:00,0,3481000,0.986,0.28,188.389999
2012-04-25  00:00:00,0,3376300,0.986,0.28,191.070007
2012-04-26  00:00:00,0,3955100,0.986,0.28,191.100006
2012-04-27  00:00:00,0,10234000,0.986,0.28,189.979996
2012-04-30  00:00:00,0,22116900,0.986,0.28,188.240005
2012-05-01  00:00:00,0,9756900,0.986,0.28,190.330002
2012-05-02  00:00:00,0,6754900,0.986,0.28,194.419998
2012-05-03  00:00:00,0,4593400,0.986,0.28,195.990005
2012-05-04  00:00:00,0,4055500,0.986,0.28,226.850006
2012-05-07  00:00:00,0,4585200,0.986,0.28,231.899994
2012-05-08  00:00:00,0,3314300,0.986,0.28,230.039993
2012-05-09  00:00:00,0,4522400,0.986,0.28,230.25
2012-05-10  00:00:00,0,3712000,0.986,0.28,229.449997
2012-05-11  00:00:00,0,4648400,0.986,0.28,223.990005
2012-05-14  00:00:00,0,4193600,0.986,0.28,225.160004
2012-05-15  00:00:00,0,3096600,0.986,0.28,223.899994
2012-05-16  00:00:00,0,5713700,0.986,0.28,222.979996
2012-05-17  00:00:00,0,5261800,0.986,0.28,226.690002
2012-05-18  00:00:00,0,4505500,0.986,0.28,227.679993
2012-05-21  00:00:00,0,5231700,0.986,0.28,222.929993
2012-05-22  00:00:00,0,3579800,0.986,0.28,224.389999
2012-05-23  00:00:00,0,3733100,0.986,0.28,224.059998
2012-05-24  00:00:00,0,4243800,0.986,0.28,218.360001
2012-05-25  00:00:00,0,3141100,0.986,0.28,213.850006
2012-05-29  00:00:00,0,2171400,0.986,0.28,218.110001
2012-05-30  00:00:00,0,2693900,0.986,0.28,215.330002
2012-05-31  00:00:00,0,4078200,0.986,0.28,217.279999
2012-06-01  00:00:00,0,4944000,0.986,0.28,215.240005
2012-06-04  00:00:00,0,3951500,0.986,0.28,212.889999
2012-06-05  00:00:00,0,4299600,0.986,0.28,214.75
2012-06-06  00:00:00,0,3543900,0.986,0.28,209.229996
2012-06-07  00:00:00,0,2710100,0.986,0.28,212.910004
2012-06-08  00:00:00,0,3503900,0.986,0.28,208.220001
2012-06-11  00:00:00,0,2877000,0.986,0.28,214.570007
2012-06-12  00:00:00,0,3749100,0.986,0.28,213.210007
2012-06-13  00:00:00,0,2833300,0.986,0.28,217.639999
2012-06-14  00:00:00,0,2325200,0.986,0.28,218.800003
2012-06-15  00:00:00,0,3060900,0.986,0.28,218.479996
2012-06-18  00:00:00,0,3785200,0.986,0.28,216.5
2012-06-19  00:00:00,0,3369600,0.986,0.28,216.419998
2012-06-20  00:00:00,0,2716600,0.986,0.28,214.729996
2012-06-21  00:00:00,0,2444400,0.986,0.28,214.449997
2012-06-22  00:00:00,0,2843000,0.986,0.28,218.350006
2012-06-25  00:00:00,0,2187500,0.986,0.28,222.660004
2012-06-26  00:00:00,0,2382300,0.986,0.28,224.029999
2012-06-27  00:00:00,0,3754100,0.986,0.28,223.020004
2012-06-28  00:00:00,0,2799200,0.986,0.28,220.570007
2012-06-29  00:00:00,0,2994800,0.986,0.28,222.160004
2012-07-02  00:00:00,0,3614400,0.986,0.28,220.070007
2012-07-03  00:00:00,0,2330700,0.986,0.28,225.610001
2012-07-05  00:00:00,0,1331700,0.986,0.28,225.619995
2012-07-06  00:00:00,0,2682300,0.986,0.28,221.309998
2012-07-09  00:00:00,0,3203200,0.986,0.28,228.350006
2012-07-10  00:00:00,0,1922000,0.0545,0.01,229.320007
2012-07-11  00:00:00,0,2982100,0.0545,0.01,229.529999
2012-07-12  00:00:00,0,2734700,0.0545,0.01,227.059998
2012-07-13  00:00:00,0,2616200,0.0545,0.01,225.050003
2012-07-16  00:00:00,0,2221900,0.0545,0.01,225.050003
2012-07-17  00:00:00,0,2004200,0.0545,0.01,219.5
2012-07-18  00:00:00,0,1987000,0.0545,0.01,218.369995
2012-07-19  00:00:00,0,2093000,0.0545,0.01,215.360001
2012-07-20  00:00:00,0,5449400,0.0545,0.01,218.389999
2012-07-23  00:00:00,0,4170000,0.0545,0.01,216.009995
2012-07-24  00:00:00,0,5515100,0.0545,0.01,216.929993
2012-07-25  00:00:00,0,5008700,0.0545,0.01,217.470001
2012-07-26  00:00:00,0,3646700,0.0545,0.01,226.169998
2012-07-27  00:00:00,0,6937400,0.0545,0.01,228.289993
2012-07-30  00:00:00,0,11313900,0.0545,0.01,226.009995
2012-07-31  00:00:00,0,3736400,0.0545,0.01,223.039993
2012-08-01  00:00:00,0,3453600,0.0545,0.01,217.050003
2012-08-02  00:00:00,0,2543800,0.0545,0.01,220.009995
2012-08-03  00:00:00,0,3048100,0.0545,0.01,237.320007
2012-08-06  00:00:00,0,2825300,0.0545,0.01,236.089996
2012-08-07  00:00:00,0,1843700,0.0545,0.01,233.300003
2012-08-08  00:00:00,0,2058300,0.0545,0.01,232.089996
2012-08-09  00:00:00,0,1534300,0.0545,0.01,230.809998
2012-08-10  00:00:00,0,1548100,0.0545,0.01,234.970001
